H2,,,"BRIGHT STARS,",,,,J2018.5,,,,,,,
Designation,,,BS=HR,Right,,,,,,,,,Spectral Type,
,,,,Ascension,Declination,Notes,V,B,V,V,I,,,
,,,,h m s,ı 0 00,,,,,,,,,
,,Phe,338,01 09 09.5,55 08 50,vdbm,3.94,0.12,,0.08,,B7 V,,
30,,Cas,321,01 09 31.1,C55 00 38,db,5.17,C0.70,,C0.83,,G5 Vb,,
31,,Cet,334,01 09 31.2,10 05 05,d,3.46,C1.16,,C1.11,,K2,III CN 0.5,
42,,And,335,01 10 35.1,C47 20 24,dm,4.26,C0.01,,0.02,,B7 III,,
43,ˇ,And,337,01 10 46.4,C35 43 05,ad,2.07,C1.58,,C1.74,,M0C IIIa,,
,,,285,01 11 38.8,C86 21 19,,4.24,C1.21,,C1.16,,K2 III,,
33,,Cas,343,01 12 14.5,C55 14 52,db,4.34,C0.17,,C0.19,,A7m,,
84,,Psc,351,01 12 27.1,C21 07 57,,4.66,C1.02,,C0.99,,G8.5 III,,
83,,Psc,352,01 12 41.1,C30 11 15,b,4.51,C1.09,,C1.05,,K0.5 IIIb,,
86,,Psc,361,01 14 42.0,C07 40 22,db,5.21,C0.32,,C0.37,,F0 Vn,,
89,,Psc,378,01 18 45.3,C03 42 41,b,5.13,C0.07,,C0.11,,A3 V,,
90,,Psc,383,01 20 29.3,C27 21 39,b,4.74,C0.03,,C0.10,,A2 IV,,
34,,Cas,382,01 21 15.6,C58 19 42,sdb,4.95,C0.68,,C0.93,,F0 Ia,,
46,,And,390,01 23 26.3,C45 37 31,b,4.87,C1.08,,C1.04,,K0,IIIb,
45,,Cet,402,01 24 56.9,08 05 18,d,3.60,C1.07,,C1.05,,K0 IIIb,,
37,ı,Cas,403,01 27 02.5,C60 19 51,sdb,2.66,C0.16,,C0.19,,A5 IV,,
36,,Cas,399,01 27 15.9,C68 13 33,d,4.72,C1.05,,C1.01,,K0 III CN 0.5,,
94,,Psc,414,01 27 41.8,C19 20 09,,5.50,C1.11,,C1.04,,gK1,,
48,!,And,417,01 28 46.3,C45 30 06,d,4.83,C0.42,,C0.49,,F5 V,,
,,Phe,429,01 29 10.0,43 13 26,vb,3.41,C1.54,,C1.73,,M0,IIIa,
48,,Cet,433,01 30 29.4,21 32 03,d,5.11,C0.03,,C0.04,,A1 Va,,
,ı,Phe,440,01 32 01.2,48 58 37,,3.93,C0.97,,C1.00,,G9 III,,
99,,Psc,437,01 32 28.6,C15 26 26,dm,3.62,C0.97,,C0.94,,G7 IIIa,,
50,,And,458,01 37 53.4,C41 29 50,db,4.10,C0.54,,C0.58,,F8 V,,
," ̨",Eri,472,01 38 24.0,57 08 36,n05,0.45,0.16,,0.17,,B3 Vnp (shell),,
51,,And,464,01 39 08.3,C48 43 16,,3.59,C1.28,,C1.23,,K3,III,
40,,Cas,456,01 40 01.9,C73 08 00,d,5.28,C0.97,,C0.96,,G7 III,,
106,,Psc,489,01 42 23.8,C05 34 50,,4.45,C1.35,,C1.37,,K3 IIIb,,
,,Scl,497,01 42 58.6,32 14 04,,5.25,C1.04,,C1.04,,K1 II/III,,
,,,500,01 43 39.7,03 35 52,,4.98,C1.38,,C1.26,,K3 II,III,
,,Per,496,01 44 49.9,C50 46 52,b,4.01,0.10,,0.08,,B2 Vep,,
52,,Cet,509,01 44 55.7,15 50 26,d,3.49,C0.73,,C0.82,,G8 V,,
110,o,Psc,510,01 46 22.4,C09 15 00,s,4.26,C0.94,,C0.93,,G8 III,,
,,Scl,514,01 46 30.7,24 57 39,dm,5.29,C0.40,,C0.46,,F0 V,,
,,,513,01 46 55.0,05 38 29,s,5.37,C1.52,,C1.55,,K4 III,,
53,,Cet,531,01 50 29.7,10 35 44,d,4.66,C0.33,,C0.38,,F2 IV,V,
55,,Cet,539,01 52 22.5,10 14 39,db,3.74,C1.14,,C1.07,,K0 III,,
2," ̨",Tri,544,01 54 08.5,C29 40 06,dvb,3.42,C0.49,,C0.55,,F6 IV,,
,,Phe,555,01 54 23.1,46 12 46,b,4.39,C1.60,,C2.49,,M4 III,,
111,,Psc,549,01 54 30.9,C03 16 41,b,4.61,C0.93,,C0.93,,G9 IIIb Fe,,0.5
,,Phe,558,01 55 08.0,42 24 24,b,5.12,0.06,,0.04,,Ap Hg,,
," 2",Hyi,570,01 55 24.4,67 33 24,,4.68,C0.93,,C0.95,,G8.5 III,,

H4,,,"BRIGHT STARS,",,,,J2018.5,,,,,,,,
Designation,,,BS=HR,Right,,,,,,,,,Spectral Type,,
,,,,Ascension,Declination,Notes,V,B,V,V,I,,,,
,,,,h m s,ı 0 00,,,,,,,,,,
