"BRIGHT STARS,",Ascension,Declination
4963,13 10 54.6,05 38 14
4983,13 12 44.1,C27 47 05
4993,13 16 31.5,67 59 31
5006,13 17 55.1,31 36 13
5017,13 18 22.2,C40 28 32
5015,13 18 32.4,C05 22 22
5019,13 19 22.6,18 24 49
5020,13 19 55.9,23 16 07
5028,13 21 38.6,36 48 34
5035,13 23 50.6,61 05 05
5054,13 24 40.1,C54 49 45
5062,13 25 57.8,C54 53 31
5056,13 26 10.2,11 15 26
5064,13 27 42.0,12 48 12
5085,13 29 07.7,C59 51 02
5072,13 29 20.1,C13 40 50
5089,13 32 07.4,39 30 08
5105,13 35 04.2,C03 33 52
5110,13 35 37.3,C37 05 17
5107,13 35 38.2,00 41 23
5139,13 37 37.8,C71 08 54
5132,13 41 04.3,53 33 35
5134,13 41 09.0,50 02 35
5150,13 42 35.2,08 47 45
5168,13 46 44.7,33 08 12
5185,13 48 08.5,C17 21 55
5191,13 48 16.1,C49 13 17
5171,13 48 29.4,62 40 53
5200,13 50 22.2,C15 42 24
5192,13 50 31.4,34 32 33
5190,13 50 37.3,41 46 45
5193,13 50 44.3,42 33 55
5196,13 50 52.8,18 13 32
5226,13 51 58.4,C64 37 56
5235,13 55 33.9,C18 18 20
5231,13 56 42.2,47 22 43
5241,13 59 00.4,63 46 35
5248,13 59 24.2,42 11 25
5250,13 59 33.7,25 03 42
5249,13 59 49.8,44 53 35
5264,14 02 35.4,C01 27 21
5260,14 02 53.3,45 41 32
5270,14 03 26.3,C09 35 50
5291,14 04 53.5,C64 17 16
5267,14 05 08.7,60 27 41
5285,14 07 11.0,41 16 03
5261,14 07 11.6,76 53 05
5287,14 07 25.8,26 46 14
5288,14 07 46.7,36 27 36
5299,14 08 40.1,C43 46 01
5321,14 08 48.2,C77 27 38
5304,14 11 14.5,C25 00 17
5315,14 13 53.1,10 21 32
5340,14 16 30.3,C19 05 12
5350,14 16 49.2,C51 16 57
5338,14 16 59.2,06 05 17
5351,14 17 05.2,C46 00 14
5361,14 18 46.7,C35 25 29
5359,14 20 06.8,13 27 19
5365,14 20 10.0,C12 55 11
5354,14 20 35.8,46 08 33
5358,14 21 37.9,56 28 14
5367,14 21 41.3,37 58 10
5378,14 24 11.1,39 35 43
5392,14 25 06.7,C05 44 13
5404,14 25 49.6,C51 45 57
5390,14 25 52.2,24 53 22
5405,14 27 19.0,C19 08 40
5395,14 27 20.0,45 18 15
5396,14 27 22.7,45 27 43
5430,14 27 30.5,C75 36 49
5409,14 29 09.4,02 18 36
5407,14 29 15.7,29 34 26
5339,14 30 06.4,83 45 00
5429,14 32 37.6,C30 17 27
5435,14 32 49.3,C38 13 41
5425,14 33 52.5,50 32 17
5447,14 35 29.1,C29 39 56
5440,14 36 41.4,42 14 17
5453,14 39 08.5,49 30 19
5468,14 39 31.5,C44 19 31
5460,14 40 52.0,60 54 38
5459,14 40 52.3,60 54 42
5478,14 42 02.0,C13 38 59
5471,14 43 06.9,37 52 19
5469,14 43 10.1,47 27 59
5463,14 44 01.4,65 03 15
5487,14 44 02.3,05 44 16
5490,14 44 14.2,C26 27 00
5485,14 44 47.7,35 15 08
5506,14 45 47.7,C26 59 49
5511,14 47 11.1,C01 48 57
5495,14 48 19.6,52 27 38
5516,14 48 49.9,26 09 50
5470,14 50 14.7,79 07 16
5563,14 50 40.2,C74 04 47
5526,14 51 22.8,28 02 11
5530,14 51 42.7,16 04 23
5531,14 51 54.3,16 07 03
5552,14 51 54.7,C59 13 09
5528,14 52 51.2,43 39 03
5558,14 56 53.2,33 55 47
5564,14 57 46.5,11 29 00
5589,14 57 53.0,C65 51 33
5570,14 58 09.1,04 25 15
5571,14 59 45.1,43 12 26
5576,15 00 22.3,42 10 38
5586,15 01 57.8,08 35 29
5602,15 02 38.6,C40 19 06
5601,15 03 50.2,C02 01 11
5603,15 05 09.4,25 21 13
5616,15 05 14.3,C26 52 35
5635,15 06 48.5,C54 29 08
5634,15 08 06.8,C24 47 53
5626,15 10 05.9,45 20 59
5646,15 13 13.8,48 48 24
5652,15 13 16.8,19 51 38
5649,15 13 37.5,52 10 06
5691,15 14 51.5,C67 16 36
5660,15 15 45.6,31 35 13
5675,15 16 06.6,C04 52 18
5681,15 16 14.9,C33 14 48
5685,15 18 00.3,09 27 00
5686,15 18 57.7,30 12 56
5670,15 18 58.6,58 52 07
5683,15 19 49.7,47 56 31
5671,15 20 39.8,68 44 46
5735,15 20 42.8,C71 46 05
5695,15 22 35.6,40 42 47
5705,15 22 59.1,36 19 38
5708,15 23 56.7,44 45 17
5712,15 24 20.6,36 55 25
5704,15 24 51.9,59 23 09
5733,15 25 11.4,C37 18 47
5744,15 25 20.6,C58 54 06
5739,15 26 38.9,C15 21 50
5747,15 28 35.5,C29 02 34
5763,15 31 35.7,C40 46 15
5730,15 33 34.1,73 27 05
5778,15 33 40.6,C31 17 51
5777,15 35 11.5,10 07 36
5793,15 35 28.3,C26 39 12
5789,15 35 41.2,C10 28 41
5776,15 36 22.8,41 13 39
5787,15 36 33.8,14 51 00
5784,15 37 28.6,44 27 26
5794,15 38 09.1,28 11 42
5771,15 38 26.1,66 22 38
5823,15 38 29.5,C40 17 38
5797,15 39 18.4,42 37 36
5812,15 39 47.8,29 50 14
5798,15 40 12.5,52 25 56
5838,15 43 00.9,19 44 15
5903,15 43 26.1,C77 44 12
5849,15 43 31.2,C26 14 17
5854,15 45 10.8,C06 22 07
5886,15 46 57.2,C62 32 34
5867,15 47 02.5,C15 21 54
5868,15 47 20.6,C07 17 46
5879,15 49 34.4,C18 05 08
5889,15 50 22.2,C26 00 46
5881,15 50 35.2,03 29 08
5892,15 51 44.4,C04 25 24
5901,15 51 55.8,C35 36 03
5883,15 52 08.4,33 40 55
5914,15 53 19.0,C42 24 02
5902,15 54 24.7,20 13 16
5908,15 54 52.9,16 46 56
5897,15 56 47.3,63 29 09
5933,15 57 18.5,C15 36 08
5928,15 58 01.8,29 16 00
5960,15 58 13.9,C54 41 53
5947,15 58 21.3,C26 49 31
5941,15 59 13.7,14 19 53
5944,15 59 58.5,26 09 57
5958,16 00 16.7,C25 52 07
5943,16 00 46.2,41 47 45
5948,16 01 21.2,38 26 53
5954,16 01 22.0,16 35 12
5953,16 01 25.8,22 40 23
5986,16 02 14.3,C58 30 59
5984,16 06 30.9,19 51 17
5985,16 06 31.2,19 51 04
5980,16 07 48.3,45 13 18
5987,16 07 48.7,36 51 04
5993,16 07 53.5,20 43 05
5997,16 08 29.6,20 55 03
6008,16 08 54.7,C16 59 56
6023,16 09 21.2,C44 53 14
6018,16 09 38.9,C36 26 42
6079,16 10 19.3,C75 49 49
6027,16 13 04.4,19 30 27
6024,16 14 56.8,54 40 35
6056,16 15 19.0,03 44 26
6116,16 16 59.1,C75 42 43
6030,16 17 08.2,63 43 51
6075,16 19 18.1,04 44 11
6092,16 20 17.9,C46 16 12
6077,16 20 43.2,30 57 00
6072,16 21 13.9,50 11 57
6084,16 22 19.0,25 38 08
6095,16 22 44.2,C19 06 39
6093,16 23 00.6,C00 59 12
6020,16 23 10.3,78 44 19
6132,16 24 14.7,C61 28 22
6104,16 25 11.3,20 04 45
6117,16 26 16.2,C13 59 31
6161,16 27 57.3,C68 43 41
6118,16 28 05.9,18 29 48
6115,16 28 32.8,47 35 43
6098,16 30 28.8,70 07 24
6134,16 30 32.7,26 28 18
6148,16 31 01.0,C21 27 01
6149,16 31 50.9,C01 56 41
6147,16 32 12.0,16 39 06
6143,16 32 35.7,34 44 35
6153,16 33 14.1,21 30 16
6168,16 34 42.0,C42 23 59
6102,16 36 20.7,78 56 06
6165,16 37 02.2,28 15 10
6166,16 37 35.7,35 17 30
6175,16 38 10.8,10 36 11
6200,16 39 15.1,C48 53 34
6212,16 41 59.1,C31 34 12
6196,16 42 38.7,17 46 35
6220,16 43 31.9,C38 53 17
6322,16 44 08.3,C82 00 15
6237,16 45 39.0,C56 44 58
6163,16 45 45.7,77 33 09
6217,16 50 38.4,69 03 32
6243,16 50 51.5,10 48 51
6241,16 51 21.9,34 19 31
6229,16 51 23.5,59 04 20
6270,16 52 31.3,C24 37 35
6247,16 53 07.6,38 04 39
6252,16 53 35.5,38 02 50
6279,16 53 40.2,C31 40 19
6281,16 54 53.0,C10 08 10
6271,16 55 53.3,42 23 28
6299,16 58 32.7,C09 20 51
6285,17 00 09.4,56 01 02
6324,17 00 59.9,C30 54 01
6295,17 01 03.8,53 11 13
6318,17 02 02.2,04 14 56
6332,17 02 17.4,C33 32 33
6355,17 06 14.2,C12 43 00
6396,17 08 50.6,C65 41 31
6378,17 11 26.4,15 44 47
6380,17 13 28.9,43 15 42
6406,17 15 29.5,C14 22 14
6418,17 15 41.5,C36 47 21
6410,17 15 47.5,C24 49 07
6452,17 21 07.8,C18 02 21
6458,17 21 21.2,C32 26 42
6446,17 21 52.2,12 51 51
6445,17 22 07.0,21 07 52
6453,17 23 08.8,25 00 59
6411,17 24 10.3,70 08 23
6789,17 26 20.2,C86 34 23
6461,17 26 50.5,55 32 43
6462,17 26 57.3,56 23 35
6498,17 27 26.0,C04 07 32
6486,17 27 30.1,24 11 27
6493,17 27 36.8,05 06 06
6492,17 28 32.2,29 52 56
6536,17 30 51.1,C52 17 18
6526,17 31 29.2,C26 05 52
6566,17 31 53.6,C68 07 23
6508,17 32 01.4,37 18 32
6554,17 32 32.5,C55 10 20
6555,17 32 38.0,C55 09 39
6500,17 32 46.4,60 41 49
6510,17 33 16.4,49 53 20
6527,17 34 52.0,37 06 56
6556,17 35 47.6,C12 32 52
6596,17 36 50.7,C68 44 57
6546,17 37 49.4,38 38 47
6561,17 38 38.8,15 24 31
6553,17 38 39.0,43 00 28
6588,17 39 59.3,C45 59 50
6636,17 41 36.9,C72 08 21
6581,17 42 27.3,12 53 01
6580,17 43 46.1,39 02 16
6608,17 44 07.1,C24 19 15
6603,17 44 23.2,C04 33 39
6595,17 44 32.4,21 41 26
6585,17 45 36.9,51 50 31
6623,17 47 11.0,C27 42 39
6582,17 47 33.1,64 43 49
6701,17 48 37.5,C76 57 33
6616,17 48 43.5,27 50 10
6629,17 48 49.3,C02 42 06
6615,17 48 52.8,40 07 56
6630,17 51 07.1,37 02 51
6688,17 53 51.0,C56 52 13
6685,17 56 10.0,C26 02 53
6695,17 56 53.3,C37 14 57
6705,17 57 02.2,C51 29 14
6703,17 58 29.0,C29 14 49
6707,17 59 12.7,C30 11 20
6698,18 00 02.7,09 46 28
6713,18 00 52.9,C16 45 04
6714,18 01 34.3,C02 55 55
6723,18 02 41.5,C01 18 22
6742,18 06 12.1,29 34 39
6752,18 06 23.2,C02 29 52
6746,18 06 59.8,30 25 20
6791,18 08 02.2,C43 27 54
6743,18 08 04.3,50 05 18
6771,18 08 13.6,C09 34 04
6779,18 08 15.9,C28 45 58
6787,18 09 33.0,C20 49 07
6745,18 10 21.6,63 39 55
6783,18 12 36.1,45 56 57
6850,18 14 00.2,C64 24 13
6812,18 14 52.2,21 03 09
6819,18 18 41.0,56 00 55
6832,18 18 52.7,36 45 16
6920,18 20 29.4,C71 20 50
6872,18 20 30.6,C36 04 26
6927,18 20 43.3,C72 44 26
6866,18 21 47.5,C03 23 12
6859,18 22 10.7,29 49 07
6869,18 22 16.1,02 53 34
6895,18 24 29.2,C21 46 46
6855,18 24 55.8,61 28 59
6879,18 25 24.0,34 22 27
6897,18 28 20.6,45 57 23
6913,18 29 06.7,25 24 36
6930,18 30 15.1,14 33 09
6905,18 30 15.3,49 03 31
6935,18 30 38.8,01 58 19
6951,18 34 49.4,42 17 50
6973,18 36 12.8,08 13 47
6985,18 37 20.8,C09 08 18
7001,18 37 33.9,C38 48 07
7020,18 43 17.2,09 02 00
7032,18 44 31.7,08 15 20
6982,18 45 11.2,71 24 33
7056,18 45 24.6,C37 37 31
7124,18 45 45.8,C75 27 18
7061,18 46 27.5,C20 33 55
7039,18 46 48.7,26 58 12
7064,18 46 49.2,C26 40 59
7069,18 47 50.3,C18 12 12
7063,18 48 09.4,04 43 36
7066,18 48 28.2,05 41 02
7062,18 50 10.5,43 39 29
7106,18 50 45.8,C33 23 06
7125,18 51 28.4,C59 24 41
7074,18 53 55.5,62 09 50
7180,18 54 09.9,C71 19 18
7139,18 55 09.1,C36 55 23
7157,18 55 53.9,C43 58 17
7121,18 56 24.7,26 16 20
7141,18 57 08.3,C04 13 44
7150,18 58 50.0,21 04 51
7107,18 58 50.9,67 12 28
7178,18 59 38.2,C32 42 57
7134,18 59 56.3,52 54 45
7176,19 00 27.7,C15 05 41
7193,19 02 40.1,05 42 42
7194,19 03 47.2,29 51 07
6721,19 05 11.0,87 34 48
7217,19 05 47.4,21 42 46
7235,19 06 15.6,C13 53 32
7236,19 07 13.8,04 51 12
7262,19 07 57.8,C36 07 48
7234,19 08 05.6,27 38 30
7254,19 10 43.7,37 52 26
7264,19 10 51.8,20 59 34
7259,19 11 17.9,39 18 35
7310,19 12 33.3,C67 41 39
7279,19 13 40.9,07 54 26
7298,19 14 23.3,C39 10 43
7352,19 15 11.1,C73 23 21
7314,19 17 00.6,C38 10 03
7328,19 17 31.8,C53 24 11
7315,19 18 41.1,C11 37 48
7304,19 18 42.9,18 55 07
7340,19 22 44.7,17 48 39
7342,19 22 47.1,15 55 08
7337,19 23 57.8,44 25 21
7343,19 24 33.1,44 45 47
7348,19 25 09.9,40 34 46
7373,19 25 51.1,C11 59 07
7377,19 26 25.8,C03 09 11
7405,19 29 28.5,C24 42 12
7420,19 30 10.3,C51 46 11
7417,19 31 28.1,C27 59 58
7414,19 31 37.9,02 44 57
7462,19 32 19.2,C69 41 33
7426,19 32 27.6,C34 29 36
7429,19 34 59.6,C07 25 10
7424,19 36 35.0,48 03 27
7469,19 36 56.3,C50 15 53
7447,19 37 40.7,01 14 40
7440,19 37 49.9,24 50 29
7446,19 37 53.1,06 59 06
7479,19 40 55.4,C18 03 27
7495,19 41 24.4,C45 34 10
7476,19 41 46.9,16 14 58
7488,19 41 52.8,C17 31 12
7503,19 42 18.5,C50 34 07
7504,19 42 21.5,C50 33 40
7489,19 43 34.5,16 04 45
7506,19 44 29.1,C25 49 02
7517,19 44 56.7,C37 24 00
7528,19 45 33.2,C45 10 36
7525,19 47 08.3,C10 39 34
7515,19 47 26.4,19 42 55
7582,19 48 06.1,C70 18 54
7536,19 48 12.7,C18 34 52
7510,19 49 31.3,56 18 59
7564,19 51 16.6,C32 57 42
7557,19 51 41.1,C08 55 06
7553,19 51 47.8,10 42 55
7589,19 52 32.5,C47 04 33
7552,19 53 05.7,39 49 33
7574,19 53 11.3,C18 43 14
7570,19 53 24.9,C01 03 16
7575,19 54 16.8,03 03 55
7602,19 56 13.3,C06 27 15
7581,19 56 32.0,41 49 05
7615,19 57 00.0,C35 08 00
7614,19 58 59.9,15 26 28
7635,19 59 34.8,C19 32 36
7623,20 00 56.2,35 13 29
7653,20 01 51.8,C27 48 20
7590,20 02 42.0,72 51 33
7650,20 03 47.5,27 39 25
7750,20 08 14.0,C77 45 59
7673,20 08 47.7,52 49 34
7708,20 10 06.9,C36 53 42
7665,20 10 31.4,66 07 58
7710,20 12 15.5,00 45 56
7740,20 13 49.6,C56 37 29
7735,20 14 12.9,C46 47 53
7724,20 15 08.0,C15 15 18
7751,20 16 02.6,C47 46 18
7753,20 17 34.6,C24 43 45
7763,20 18 28.1,C38 05 29
7747,20 18 40.3,12 26 59
7754,20 19 04.7,12 29 11
7776,20 22 02.9,14 43 18
7796,20 22 53.6,C40 19 00
7794,20 24 05.7,C05 24 12
7806,20 24 36.0,C32 15 03
7790,20 27 06.0,56 40 27
7850,20 29 53.3,C63 03 24
7834,20 30 09.1,C30 25 52
7831,20 30 37.0,02 49 22
7879,20 31 14.6,C75 01 04
7852,20 34 05.8,C11 22 02
7882,20 38 25.0,C14 39 37
7869,20 38 51.6,47 13 32
7884,20 39 17.5,01 02 22
7891,20 39 20.9,C21 16 01
7896,20 40 01.7,C10 09 09
7906,20 40 29.8,C15 58 42
7900,20 41 06.0,18 04 21
7921,20 41 47.5,C32 22 26
7924,20 42 03.8,C45 20 50
7928,20 44 19.4,C15 08 31
7920,20 45 23.2,51 51 12
7957,20 45 39.8,C61 54 40
7955,20 45 48.6,C57 38 48
7942,20 46 25.6,C30 47 17
7913,20 46 36.2,66 08 06
7949,20 46 57.6,C34 02 25
7936,20 47 11.3,25 12 12
7948,20 47 31.0,C16 11 31
7963,20 48 07.8,C36 33 34
7950,20 48 40.5,09 25 37
7951,20 48 42.7,04 57 32
7977,20 49 34.1,C46 11 00
7943,20 49 44.0,43 55 11
7980,20 52 55.3,26 50 56
7990,20 53 39.0,08 54 46
8008,20 55 21.0,C28 07 44
7986,20 56 14.5,58 22 58
8023,20 57 14.0,C44 59 48
8028,20 57 51.9,C41 14 21
8032,20 59 06.0,C22 23 54
8047,21 00 27.4,C47 35 38
8033,21 00 39.1,18 57 45
8039,21 02 25.3,32 11 04
8048,21 04 08.5,38 33 29
8079,21 05 36.3,C44 00 08
8021,21 06 53.7,76 57 04
8075,21 06 59.1,17 09 30
8085,21 07 43.8,C38 50 29
8086,21 07 45.1,C38 50 00
8080,21 08 12.4,24 55 51
8093,21 10 36.0,11 17 45
8097,21 11 14.5,C10 12 25
8115,21 13 43.5,C30 18 13
8110,21 14 22.9,27 32 34
8092,21 15 02.7,70 02 57
8123,21 15 22.9,C10 04 58
8130,21 15 31.9,C38 07 30
8131,21 16 44.9,C05 19 31
8143,21 18 08.6,C39 28 22
8146,21 18 40.8,C34 58 31
8162,21 19 01.2,C62 39 52
8135,21 19 03.3,32 05 39
8140,21 21 10.4,53 22 15
8151,21 21 56.3,40 43 48
8173,21 22 56.6,C19 53 04
8167,21 23 16.4,16 45 17
7228,21 24 02.0,88 52 43
8187,21 25 12.0,12 47 52
8209,21 26 32.5,C36 44 53
8204,21 27 43.2,22 19 49
8181,21 27 57.0,65 16 52
8238,21 28 53.5,C70 38 32
8213,21 29 46.5,21 43 33
8228,21 30 08.0,C46 37 22
8225,21 30 47.2,C23 43 14
8232,21 32 31.9,05 29 20
8252,21 34 40.7,C45 40 27
8266,21 37 41.6,C40 29 50
8279,21 38 25.0,C62 09 57
8267,21 38 37.4,C19 24 09
8264,21 38 44.1,07 46 14
8284,21 40 54.8,C43 21 30
8278,21 41 06.8,16 34 40
8317,21 42 11.2,C71 23 48
8254,21 43 28.1,77 18 23
8316,21 44 04.5,C58 51 55
8308,21 45 05.7,C09 57 38
8313,21 45 23.3,C17 26 08
8315,21 45 29.1,C25 43 51
8334,21 45 59.0,C61 12 24
8305,21 46 02.6,32 56 26
8335,21 47 28.7,C49 23 45
8322,21 48 03.6,16 02 33
8343,21 50 39.9,C30 15 40
8333,21 52 19.3,69 32 32
8356,21 53 54.4,C26 00 46
8351,21 54 18.2,13 27 50
8353,21 55 02.6,37 16 37
8371,21 55 30.6,C56 41 58
8368,21 59 09.9,54 54 13
8417,22 04 19.7,C64 43 07
8387,22 04 45.7,56 42 32
8426,22 05 34.3,C62 52 35
8428,22 05 43.1,C62 22 13
8414,22 06 44.0,00 13 46
8411,22 07 13.4,39 27 12
8418,22 07 26.0,13 46 45
8430,22 07 52.4,C25 26 10
8425,22 09 23.4,46 52 14
8431,22 09 27.5,32 53 51
8468,22 10 09.5,C72 25 57
8454,22 10 48.7,C33 16 10
8450,22 11 08.0,C06 17 22
8546,22 11 21.9,C86 12 00
8465,22 11 29.9,C58 17 34
8469,22 12 08.4,C59 30 22
8485,22 14 40.5,C39 48 26
8478,22 15 21.4,27 40 28
8494,22 15 43.3,C57 08 11
8498,22 16 46.7,C37 50 29
8499,22 17 48.5,07 41 26
8502,22 19 45.2,60 10 00
8481,22 22 00.1,80 20 47
8520,22 22 25.7,C12 17 56
8516,22 22 36.5,21 30 18
8518,22 22 36.7,01 17 37
8538,22 24 17.5,C52 19 20
8539,22 26 13.3,C01 28 19
8540,22 28 37.7,64 52 17
8552,22 29 43.9,39 02 15
8559,22 29 47.0,C00 04 31
8571,22 29 51.7,C58 30 37
8591,22 30 01.8,C78 55 10
8572,22 30 18.3,C47 48 07
8556,22 30 22.1,43 24 02
8560,22 30 51.3,43 39 14
8579,22 31 17.4,C43 13 07
8573,22 31 37.5,10 34 58
8585,22 32 03.5,C50 22 41
8576,22 32 33.2,32 15 02
8592,22 35 42.2,20 36 47
8615,22 36 13.5,C73 44 22
8597,22 36 18.4,00 01 18
8610,22 38 42.8,04 07 56
8627,22 39 18.7,C63 40 52
8622,22 40 05.7,C39 08 49
8626,22 40 24.7,C37 41 23
8632,22 41 19.7,C44 22 24
8628,22 41 40.5,26 56 48
8634,22 42 23.1,C10 55 42
8636,22 43 45.8,46 47 14
8650,22 43 52.3,C30 19 06
8656,22 44 55.2,C41 55 00
8667,22 47 25.5,C23 39 48
8665,22 47 37.1,C12 16 05
8630,22 47 50.7,81 17 02
8670,22 48 32.6,19 30 59
8675,22 49 39.8,51 13 09
8694,22 50 20.6,C66 17 53
8679,22 50 34.2,13 29 41
8684,22 50 53.9,C24 41 59
8685,22 52 05.0,39 03 30
8695,22 53 33.0,32 46 37
8698,22 53 34.7,07 28 51
8748,22 54 11.9,C84 26 42
8709,22 55 37.8,15 43 19
8720,22 56 58.1,32 26 26
8726,22 57 14.9,C49 49 57
8728,22 58 40.1,29 31 26
8732,22 59 36.5,35 25 28
8752,23 00 52.2,C57 02 42
8747,23 01 57.8,52 39 16
8762,23 02 46.6,C42 25 33
8767,23 04 31.0,34 38 57
8775,23 04 40.4,C28 11 00
8773,23 04 49.1,C03 55 12
8781,23 05 41.0,C15 18 18
8789,23 07 40.3,23 38 34
8787,23 07 54.9,43 25 13
8795,23 07 56.2,C09 30 35
8819,23 08 29.4,C75 29 16
8812,23 10 25.8,21 04 18
8820,23 11 23.9,45 08 46
8826,23 12 40.3,C08 49 15
8834,23 15 16.8,05 56 56
8841,23 16 51.6,08 59 12
8852,23 18 07.5,C03 23 01
8848,23 18 29.8,58 08 03
8858,23 18 51.8,09 04 53
8863,23 19 49.1,32 25 52
8865,23 19 55.4,09 30 34
8880,23 21 33.3,C23 50 30
8892,23 23 56.4,19 59 58
8904,23 25 40.1,C62 23 04
8905,23 26 18.3,C23 30 22
8906,23 27 01.0,20 32 26
8911,23 27 52.9,C01 21 25
8916,23 28 54.4,C06 28 51
8923,23 30 05.5,C12 51 46
8862,23 30 15.0,87 22 48
8924,23 30 29.4,04 25 55
8937,23 33 57.5,37 42 57
8952,23 35 47.9,C71 44 40
8949,23 36 03.9,42 30 45
8961,23 38 28.5,C46 33 31
8959,23 38 50.4,45 23 24
8965,23 39 03.0,C43 22 14
8974,23 40 07.5,C77 44 08
8969,23 40 54.2,C05 43 36
8976,23 41 19.5,C44 26 11
8975,23 41 36.2,31 58 15
8984,23 42 59.5,C01 52 55
8988,23 43 40.8,14 26 33
8998,23 45 09.5,18 10 27
9003,23 46 57.4,C46 31 23
9013,23 48 48.6,C67 54 35
9012,23 48 53.6,02 39 31
9016,23 49 53.2,28 01 41
9036,23 53 25.9,C19 13 23
9039,23 53 33.8,C11 03 01
9045,23 55 19.0,C57 36 08
9064,23 58 42.3,C25 14 39
9067,23 59 37.2,03 27 12
9069,23 59 52.9,52 38 33
