"BRIGHT STARS,",Ascension,Declination
1035,03 30 34.9,C60 00 11
1040,03 31 24.2,C58 56 28
1070,03 31 32.2,05 00 46
1052,03 31 53.3,C48 03 27
1066,03 31 53.8,C12 59 56
1084,03 33 48.2,09 23 48
1088,03 34 36.4,21 34 19
1100,03 37 08.0,17 24 25
1106,03 37 45.6,40 12 53
1087,03 37 48.8,C48 15 09
1101,03 37 49.1,C00 27 33
1134,03 42 59.1,31 52 49
1105,03 43 46.7,C63 16 30
1136,03 44 08.2,09 42 07
1122,03 44 15.0,C47 50 42
1175,03 44 26.2,64 44 57
1146,03 45 27.0,01 06 21
1131,03 45 29.0,C32 20 44
1142,03 45 58.7,C24 10 13
1145,03 46 18.8,C24 31 26
1135,03 46 27.4,C42 38 08
1153,03 46 39.6,C06 06 24
1149,03 46 55.9,C24 25 27
1208,03 46 58.3,74 10 55
1162,03 47 01.1,12 02 41
1156,03 47 25.7,C24 00 17
1173,03 47 38.7,23 11 46
1165,03 48 35.3,C24 09 40
1195,03 50 08.8,36 08 42
1178,03 50 16.0,C24 06 31
1155,03 51 14.1,C65 34 52
1148,03 52 20.5,C71 23 13
1203,03 55 18.0,C31 56 14
1231,03 58 53.6,13 27 25
1247,03 59 02.6,61 20 54
1220,03 59 06.1,C40 03 44
1228,04 00 10.2,C35 50 34
1239,04 01 42.5,C12 32 29
1244,04 02 28.4,01 29 56
1251,04 04 08.6,C06 02 22
1256,04 05 47.5,C22 07 52
1261,04 07 58.2,C50 23 59
1279,04 08 45.0,C15 12 39
1273,04 10 00.7,C47 45 37
1283,04 10 14.8,C19 39 24
1270,04 11 02.3,C59 57 20
1287,04 11 57.7,C26 31 40
1298,04 12 46.2,06 47 26
1326,04 14 37.0,42 14 59
1336,04 14 40.0,62 25 40
1325,04 16 07.4,07 37 31
1303,04 16 15.8,C48 27 16
1338,04 16 30.8,51 26 26
1320,04 16 32.5,C08 56 15
1355,04 16 48.4,59 15 29
1319,04 16 49.4,C15 26 44
1347,04 18 35.7,33 45 15
1346,04 20 50.9,C15 40 15
1351,04 21 00.4,C14 04 42
1367,04 21 27.5,20 35 48
1343,04 21 37.0,C34 36 35
1395,04 22 05.6,63 20 34
1327,04 22 25.7,C65 11 00
1373,04 24 00.3,C17 35 04
1376,04 24 28.9,C16 49 08
1383,04 24 36.2,03 42 14
1393,04 24 44.0,33 58 29
1387,04 26 28.5,C22 20 05
1389,04 26 33.8,C17 58 08
1394,04 27 24.1,C15 39 32
1392,04 27 25.1,C22 51 15
1411,04 29 38.0,C16 00 07
1409,04 29 42.0,C19 13 12
1412,04 29 43.3,C15 54 38
1443,04 31 24.2,44 54 53
1453,04 34 14.1,29 43 48
1465,04 34 23.9,55 00 26
1444,04 34 54.0,C14 52 55
1464,04 36 16.2,30 31 32
1458,04 36 40.3,C10 11 50
1492,04 36 58.7,62 02 28
1457,04 36 59.1,C16 32 42
1463,04 37 14.7,03 18 57
1454,04 37 58.6,C41 18 04
1481,04 39 01.7,14 16 09
1473,04 39 11.6,C12 32 48
1502,04 41 09.5,41 49 45
1496,04 41 15.1,19 38 14
1503,04 42 42.8,37 06 33
1497,04 43 21.5,C22 59 27
1520,04 46 25.7,03 13 19
1511,04 49 33.2,C56 47 17
1543,04 50 50.8,C06 59 32
1533,04 51 09.6,C37 31 09
1544,04 51 37.3,C08 55 50
1552,04 52 11.6,C05 38 07
1547,04 52 27.5,C18 52 11
1556,04 53 34.9,C14 16 48
1560,04 53 48.3,05 25 23
1629,04 54 40.1,74 54 28
1567,04 55 13.0,C02 28 11
1542,04 55 54.1,C66 22 18
1580,04 57 24.8,C13 32 32
1577,04 58 12.1,C33 11 37
1568,04 58 46.5,C53 46 47
1601,04 59 30.5,C01 44 28
1605,05 03 18.0,C43 50 56
1612,05 03 46.5,C41 06 04
1620,05 04 12.2,C21 36 53
1603,05 05 04.3,C60 28 01
